case_id,file,sha256,legacy_declared_sha256,archive_member_sha256
case_CL120_EHR_073,case_CL120_EHR_073.json,69684b1823b9500b530d7a45a3559b9d0d11d5786ad151765ba9e5ae9f9a3ab3,77266f71cfab78d6a9c6ec493b428257f4132a0aceb6bbf3edec0c52855b18a6,69684b1823b9500b530d7a45a3559b9d0d11d5786ad151765ba9e5ae9f9a3ab3
case_CL120_EHR_074,case_CL120_EHR_074.json,5d31b924057321ac4154ec9120fc47ec23758a9fb0ffb6efc4f826fba1dd7680,56b6b5a7fc308b626c5a8aa6b497db1c9fbc1c327a074b4d227dd3ab8c8aec3f,5d31b924057321ac4154ec9120fc47ec23758a9fb0ffb6efc4f826fba1dd7680
case_CL120_EHR_075,case_CL120_EHR_075.json,7c2007f4e618844075fd29f706ee20a5197720eae018718133b1cb0296160533,9e09e0de004f6294023aab1563b0988d19dbe4eeb61bc1f4df51d880a91b865c,7c2007f4e618844075fd29f706ee20a5197720eae018718133b1cb0296160533
case_CL120_EHR_076,case_CL120_EHR_076.json,4b2e97372d18ed32297e3a03cce5d9f2fc57e12b46136e20a0d93b35d263a22a,7b83b276f9dea2cfab83a9c34ebe026ecb1cee6abc5fc0ab3ce9de0b813f6694,4b2e97372d18ed32297e3a03cce5d9f2fc57e12b46136e20a0d93b35d263a22a
case_CL120_EHR_077,case_CL120_EHR_077.json,001eebc2ad966d73e71b83eb4e0a777b90491611160e99dc880133e192174cb9,5fda34ff08dbdeb6e44ffb9484ed323cb31bbea2c8589e8e55ebe4a991cad153,001eebc2ad966d73e71b83eb4e0a777b90491611160e99dc880133e192174cb9
case_CL120_EHR_078,case_CL120_EHR_078.json,ad9dc0f5c4f432a934637987798a833cf6e48a1f2db2b690e21e6a480ce09b54,23af0f6147c2d23ea01167b92d48ce58fa16252eeb528f8980c07764a1036379,ad9dc0f5c4f432a934637987798a833cf6e48a1f2db2b690e21e6a480ce09b54
case_CL120_EHR_079,case_CL120_EHR_079.json,09156872433ebc2ee6f3ca67619ec8d00f98cbe6b10a587a325e01ab9415bb2d,f6cf126f7399255234451dff0cbfbf6b2c80520337a956ad3c637fd67a37db0b,09156872433ebc2ee6f3ca67619ec8d00f98cbe6b10a587a325e01ab9415bb2d
case_CL120_EHR_080,case_CL120_EHR_080.json,224a316d67e6ff1fd63c5083b43f35f4fb6f7af9f2990a38c37f0323e831bc81,b946544e5ddeb67256e694a0aef64ef1efce06686a0c92ccc11015a4c1611098,224a316d67e6ff1fd63c5083b43f35f4fb6f7af9f2990a38c37f0323e831bc81
case_CL120_EHR_081,case_CL120_EHR_081.json,79c208bfbf99e370092465f831ed693fd0ec6f6a77c43995a281434132418fe6,bd9f81a6afa9edc337d9b57179de5af4907f023ede97c6d10cc7968f1fa76bad,79c208bfbf99e370092465f831ed693fd0ec6f6a77c43995a281434132418fe6
case_CL120_EHR_082,case_CL120_EHR_082.json,9dc7987984399a9aee10628c7c7355c1e721938886f3d4e4e3bcf6938522dfdb,df838303b6b13b248a179520a3f92e3a4976f4aef259d686ec3dc78263d547da,9dc7987984399a9aee10628c7c7355c1e721938886f3d4e4e3bcf6938522dfdb
case_CL120_EHR_083,case_CL120_EHR_083.json,7355f531d9ea490b03d443ac489c86da892586c78f235b2253c93c328c9cb3c9,72ebba5d4374504b08a1058510ca5d57e452dadef77d25b29931e2b1fc6aafb7,7355f531d9ea490b03d443ac489c86da892586c78f235b2253c93c328c9cb3c9
case_CL120_EHR_084,case_CL120_EHR_084.json,116aa44fe6205839d3f025c80ecd2b6123287346fe56e3c1ea7db79ded42bf9c,102bfb0f08abbfc5c24a22f7305cdb6a910d49795884c90daffc633993578a1d,116aa44fe6205839d3f025c80ecd2b6123287346fe56e3c1ea7db79ded42bf9c
case_CL120_EHR_085,case_CL120_EHR_085.json,dcb5ec0aeb45f4112ea2ad877fd1be7fdcdc811cb886e5d9ccac6f44c26b4cad,cd1ded34f34b9b8aee2a3bf4993f229e4f897dd402f7fa8e7898adc21e0db9a3,dcb5ec0aeb45f4112ea2ad877fd1be7fdcdc811cb886e5d9ccac6f44c26b4cad
case_CL120_EHR_086,case_CL120_EHR_086.json,a292943ecc7c395c5f09d9f1d696976b00671edf5effc069b5fba8605328dbdf,3129e67442edfcd614dc1a712b95f463a8d60a938ecda509b63a7f16992b390b,a292943ecc7c395c5f09d9f1d696976b00671edf5effc069b5fba8605328dbdf
